"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Abcoude";"||Totaal agrarisch terrein";"ha";""
"Abcoude";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Abcoude";"||Totaal binnenwater";"ha";""
"Abcoude";"||Totaal buitenwater";"ha";""
"Achtkarspelen";"Totale oppervlakte";"ha";"10398"
"Achtkarspelen";"Totaal verkeersterrein";"ha";"257"
"Achtkarspelen";"||Totaal bebouwd terrein";"ha";"921"
"Achtkarspelen";"||Totaal semi-bebouwd terrein";"ha";"85"
"Achtkarspelen";"Bouwterrein";"ha";"46"
"Achtkarspelen";"||Totaal recreatieterrein";"ha";"118"
"Achtkarspelen";"||Totaal agrarisch terrein";"ha";"8554"
"Achtkarspelen";"||Totaal  bos en open natuurlijk terrein";"ha";"289"
"Achtkarspelen";"||Totaal binnenwater";"ha";"175"
"Achtkarspelen";"||Totaal buitenwater";"ha";""
"Akersloot";"Totale oppervlakte";"ha";""
"Akersloot";"Totaal verkeersterrein";"ha";""
"Akersloot";"||Totaal bebouwd terrein";"ha";""
"Akersloot";"||Totaal semi-bebouwd terrein";"ha";""
"Akersloot";"Bouwterrein";"ha";""
"Akersloot";"||Totaal recreatieterrein";"ha";""
"Akersloot";"||Totaal agrarisch terrein";"ha";""
"Akersloot";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Akersloot";"||Totaal binnenwater";"ha";""
"Akersloot";"||Totaal buitenwater";"ha";""
"Alblasserdam";"Totale oppervlakte";"ha";"1006"
"Alblasserdam";"Totaal verkeersterrein";"ha";"64"
"Alblasserdam";"||Totaal bebouwd terrein";"ha";"414"
"Alblasserdam";"||Totaal semi-bebouwd terrein";"ha";"13"
"Alblasserdam";"Bouwterrein";"ha";"9"
"Alblasserdam";"||Totaal recreatieterrein";"ha";"70"
"Alblasserdam";"||Totaal agrarisch terrein";"ha";"299"
"Alblasserdam";"||Totaal  bos en open natuurlijk terrein";"ha";"18"
"Alblasserdam";"||Totaal binnenwater";"ha";"128"
"Alblasserdam";"||Totaal buitenwater";"ha";""
"Albrandswaard";"Totale oppervlakte";"ha";"2376"
"Albrandswaard";"Totaal verkeersterrein";"ha";"92"
"Albrandswaard";"||Totaal bebouwd terrein";"ha";"482"
"Albrandswaard";"||Totaal semi-bebouwd terrein";"ha";"70"
"Albrandswaard";"Bouwterrein";"ha";"59"
"Albrandswaard";"||Totaal recreatieterrein";"ha";"172"
"Albrandswaard";"||Totaal agrarisch terrein";"ha";"1076"
"Albrandswaard";"||Totaal  bos en open natuurlijk terrein";"ha";"277"
"Albrandswaard";"||Totaal binnenwater";"ha";"207"
"Albrandswaard";"||Totaal buitenwater";"ha";""
"Alkemade";"Totale oppervlakte";"ha";""
"Alkemade";"Totaal verkeersterrein";"ha";""
"Alkemade";"||Totaal bebouwd terrein";"ha";""
"Alkemade";"||Totaal semi-bebouwd terrein";"ha";""
"Alkemade";"Bouwterrein";"ha";""
"Alkemade";"||Totaal recreatieterrein";"ha";""
"Alkemade";"||Totaal agrarisch terrein";"ha";""
"Alkemade";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Alkemade";"||Totaal binnenwater";"ha";""
"Alkemade";"||Totaal buitenwater";"ha";""
"Alkmaar";"Totale oppervlakte";"ha";"11735"
"Alkmaar";"Totaal verkeersterrein";"ha";"477"
"Alkmaar";"||Totaal bebouwd terrein";"ha";"1898"
"Alkmaar";"||Totaal semi-bebouwd terrein";"ha";"154"
"Alkmaar";"Bouwterrein";"ha";"109"
"Alkmaar";"||Totaal recreatieterrein";"ha";"516"
"Alkmaar";"||Totaal agrarisch terrein";"ha";"7829"
"Alkmaar";"||Totaal  bos en open natuurlijk terrein";"ha";"172"
"Alkmaar";"||Totaal binnenwater";"ha";"689"
"Alkmaar";"||Totaal buitenwater";"ha";""
"Almelo";"Totale oppervlakte";"ha";"6941"
"Almelo";"Totaal verkeersterrein";"ha";"417"
"Almelo";"||Totaal bebouwd terrein";"ha";"1872"
"Almelo";"||Totaal semi-bebouwd terrein";"ha";"253"
"Almelo";"Bouwterrein";"ha";"221"
"Almelo";"||Totaal recreatieterrein";"ha";"286"
"Almelo";"||Totaal agrarisch terrein";"ha";"3472"
"Almelo";"||Totaal  bos en open natuurlijk terrein";"ha";"428"
"Almelo";"||Totaal binnenwater";"ha";"214"
"Almelo";"||Totaal buitenwater";"ha";""
"Almere";"Totale oppervlakte";"ha";"24877"
"Almere";"Totaal verkeersterrein";"ha";"685"
"Almere";"||Totaal bebouwd terrein";"ha";"3234"
"Almere";"||Totaal semi-bebouwd terrein";"ha";"1069"
"Almere";"Bouwterrein";"ha";"958"
"Almere";"||Totaal recreatieterrein";"ha";"1424"
"Almere";"||Totaal agrarisch terrein";"ha";"3241"
"Almere";"||Totaal  bos en open natuurlijk terrein";"ha";"3266"
"Almere";"||Totaal binnenwater";"ha";"11958"
"Almere";"||Totaal buitenwater";"ha";""
"Alphen aan den Rijn";"Totale oppervlakte";"ha";"13250"
"Alphen aan den Rijn";"Totaal verkeersterrein";"ha";"416"
"Alphen aan den Rijn";"||Totaal bebouwd terrein";"ha";"1820"
"Alphen aan den Rijn";"||Totaal semi-bebouwd terrein";"ha";"384"
"Alphen aan den Rijn";"Bouwterrein";"ha";"362"
"Alphen aan den Rijn";"||Totaal recreatieterrein";"ha";"659"
"Alphen aan den Rijn";"||Totaal agrarisch terrein";"ha";"9223"
"Alphen aan den Rijn";"||Totaal  bos en open natuurlijk terrein";"ha";"122"
"Alphen aan den Rijn";"||Totaal binnenwater";"ha";"626"
"Alphen aan den Rijn";"||Totaal buitenwater";"ha";""
"Alphen en Riel";"Totale oppervlakte";"ha";""
"Alphen en Riel";"Totaal verkeersterrein";"ha";""
"Alphen en Riel";"||Totaal bebouwd terrein";"ha";""
"Alphen en Riel";"||Totaal semi-bebouwd terrein";"ha";""
"Alphen en Riel";"Bouwterrein";"ha";""
"Alphen en Riel";"||Totaal recreatieterrein";"ha";""
"Alphen en Riel";"||Totaal agrarisch terrein";"ha";""
"Alphen en Riel";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Alphen en Riel";"||Totaal binnenwater";"ha";""
"Alphen en Riel";"||Totaal buitenwater";"ha";""
"Alphen-Chaam";"Totale oppervlakte";"ha";"9352"
"Alphen-Chaam";"Totaal verkeersterrein";"ha";"159"
"Alphen-Chaam";"||Totaal bebouwd terrein";"ha";"326"
"Alphen-Chaam";"||Totaal semi-bebouwd terrein";"ha";"22"
"Alphen-Chaam";"Bouwterrein";"ha";"12"
"Alphen-Chaam";"||Totaal recreatieterrein";"ha";"199"
"Alphen-Chaam";"||Totaal agrarisch terrein";"ha";"6552"
"Alphen-Chaam";"||Totaal  bos en open natuurlijk terrein";"ha";"2046"
"Alphen-Chaam";"||Totaal binnenwater";"ha";"48"
"Alphen-Chaam";"||Totaal buitenwater";"ha";""
"Ambt Delden";"Totale oppervlakte";"ha";""
"Ambt Delden";"Totaal verkeersterrein";"ha";""
"Ambt Delden";"||Totaal bebouwd terrein";"ha";""
"Ambt Delden";"||Totaal semi-bebouwd terrein";"ha";""
"Ambt Delden";"Bouwterrein";"ha";""
"Ambt Delden";"||Totaal recreatieterrein";"ha";""
"Ambt Delden";"||Totaal agrarisch terrein";"ha";""
"Ambt Delden";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ambt Delden";"||Totaal binnenwater";"ha";""
"Ambt Delden";"||Totaal buitenwater";"ha";""
"Ambt Montfort";"Totale oppervlakte";"ha";""
"Ambt Montfort";"Totaal verkeersterrein";"ha";""
"Ambt Montfort";"||Totaal bebouwd terrein";"ha";""
"Ambt Montfort";"||Totaal semi-bebouwd terrein";"ha";""
"Ambt Montfort";"Bouwterrein";"ha";""
"Ambt Montfort";"||Totaal recreatieterrein";"ha";""
"Ambt Montfort";"||Totaal agrarisch terrein";"ha";""
"Ambt Montfort";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ambt Montfort";"||Totaal binnenwater";"ha";""
"Ambt Montfort";"||Totaal buitenwater";"ha";""
"Ameland";"Totale oppervlakte";"ha";"26850"
"Ameland";"Totaal verkeersterrein";"ha";"114"
"Ameland";"||Totaal bebouwd terrein";"ha";"163"
"Ameland";"||Totaal semi-bebouwd terrein";"ha";"27"
"Ameland";"Bouwterrein";"ha";"0"
"Ameland";"||Totaal recreatieterrein";"ha";"290"
"Ameland";"||Totaal agrarisch terrein";"ha";"1975"
"Ameland";"||Totaal  bos en open natuurlijk terrein";"ha";"3342"
"Ameland";"||Totaal binnenwater";"ha";"76"
"Ameland";"||Totaal buitenwater";"ha";"20863"
"Amerongen";"Totale oppervlakte";"ha";""
"Amerongen";"Totaal verkeersterrein";"ha";""
"Amerongen";"||Totaal bebouwd terrein";"ha";""
"Amerongen";"||Totaal semi-bebouwd terrein";"ha";""
"Amerongen";"Bouwterrein";"ha";""
"Amerongen";"||Totaal recreatieterrein";"ha";""
"Amerongen";"||Totaal agrarisch terrein";"ha";""
"Amerongen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Amerongen";"||Totaal binnenwater";"ha";""
"Amerongen";"||Totaal buitenwater";"ha";""
"Amersfoort";"Totale oppervlakte";"ha";"6386"
"Amersfoort";"Totaal verkeersterrein";"ha";"454"
"Amersfoort";"||Totaal bebouwd terrein";"ha";"2620"
"Amersfoort";"||Totaal semi-bebouwd terrein";"ha";"233"
"Amersfoort";"Bouwterrein";"ha";"187"
"Amersfoort";"||Totaal recreatieterrein";"ha";"468"
"Amersfoort";"||Totaal agrarisch terrein";"ha";"1945"
"Amersfoort";"||Totaal  bos en open natuurlijk terrein";"ha";"542"
"Amersfoort";"||Totaal binnenwater";"ha";"124"
"Amersfoort";"||Totaal buitenwater";"ha";""
"Ammerzoden";"Totale oppervlakte";"ha";""
"Ammerzoden";"Totaal verkeersterrein";"ha";""
"Ammerzoden";"||Totaal bebouwd terrein";"ha";""
"Ammerzoden";"||Totaal semi-bebouwd terrein";"ha";""
"Ammerzoden";"Bouwterrein";"ha";""
"Ammerzoden";"||Totaal recreatieterrein";"ha";""
"Ammerzoden";"||Totaal agrarisch terrein";"ha";""
"Ammerzoden";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ammerzoden";"||Totaal binnenwater";"ha";""
"Ammerzoden";"||Totaal buitenwater";"ha";""
"Amstelveen";"Totale oppervlakte";"ha";"4408"
"Amstelveen";"Totaal verkeersterrein";"ha";"207"
"Amstelveen";"||Totaal bebouwd terrein";"ha";"1219"
"Amstelveen";"||Totaal semi-bebouwd terrein";"ha";"65"
"Amstelveen";"Bouwterrein";"ha";"63"
"Amstelveen";"||Totaal recreatieterrein";"ha";"584"
"Amstelveen";"||Totaal agrarisch terrein";"ha";"1595"
"Amstelveen";"||Totaal  bos en open natuurlijk terrein";"ha";"442"
