"Bodemgebruik; uitgebreide gebruiksvorm, per gemeente"
""
"";"";"";"Perioden"
"Rijsbergen";"||Totaal agrarisch terrein";"ha";""
"Rijsbergen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Rijsbergen";"||Totaal binnenwater";"ha";""
"Rijsbergen";"||Totaal buitenwater";"ha";""
"Rijssen";"Totale oppervlakte";"ha";""
"Rijssen";"Totaal verkeersterrein";"ha";""
"Rijssen";"||Totaal bebouwd terrein";"ha";""
"Rijssen";"||Totaal semi-bebouwd terrein";"ha";""
"Rijssen";"Bouwterrein";"ha";""
"Rijssen";"||Totaal recreatieterrein";"ha";""
"Rijssen";"||Totaal agrarisch terrein";"ha";""
"Rijssen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Rijssen";"||Totaal binnenwater";"ha";""
"Rijssen";"||Totaal buitenwater";"ha";""
"Rijssen-Holten";"Totale oppervlakte";"ha";"9438"
"Rijssen-Holten";"Totaal verkeersterrein";"ha";"363"
"Rijssen-Holten";"||Totaal bebouwd terrein";"ha";"920"
"Rijssen-Holten";"||Totaal semi-bebouwd terrein";"ha";"66"
"Rijssen-Holten";"Bouwterrein";"ha";"42"
"Rijssen-Holten";"||Totaal recreatieterrein";"ha";"280"
"Rijssen-Holten";"||Totaal agrarisch terrein";"ha";"5347"
"Rijssen-Holten";"||Totaal  bos en open natuurlijk terrein";"ha";"2437"
"Rijssen-Holten";"||Totaal binnenwater";"ha";"25"
"Rijssen-Holten";"||Totaal buitenwater";"ha";""
"Rijswijk (ZH.)";"Totale oppervlakte";"ha";"1449"
"Rijswijk (ZH.)";"Totaal verkeersterrein";"ha";"106"
"Rijswijk (ZH.)";"||Totaal bebouwd terrein";"ha";"684"
"Rijswijk (ZH.)";"||Totaal semi-bebouwd terrein";"ha";"90"
"Rijswijk (ZH.)";"Bouwterrein";"ha";"77"
"Rijswijk (ZH.)";"||Totaal recreatieterrein";"ha";"407"
"Rijswijk (ZH.)";"||Totaal agrarisch terrein";"ha";"104"
"Rijswijk (ZH.)";"||Totaal  bos en open natuurlijk terrein";"ha";"4"
"Rijswijk (ZH.)";"||Totaal binnenwater";"ha";"53"
"Rijswijk (ZH.)";"||Totaal buitenwater";"ha";""
"Roden";"Totale oppervlakte";"ha";""
"Roden";"Totaal verkeersterrein";"ha";""
"Roden";"||Totaal bebouwd terrein";"ha";""
"Roden";"||Totaal semi-bebouwd terrein";"ha";""
"Roden";"Bouwterrein";"ha";""
"Roden";"||Totaal recreatieterrein";"ha";""
"Roden";"||Totaal agrarisch terrein";"ha";""
"Roden";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Roden";"||Totaal binnenwater";"ha";""
"Roden";"||Totaal buitenwater";"ha";""
"Roerdalen";"Totale oppervlakte";"ha";"8879"
"Roerdalen";"Totaal verkeersterrein";"ha";"215"
"Roerdalen";"||Totaal bebouwd terrein";"ha";"620"
"Roerdalen";"||Totaal semi-bebouwd terrein";"ha";"53"
"Roerdalen";"Bouwterrein";"ha";"10"
"Roerdalen";"||Totaal recreatieterrein";"ha";"206"
"Roerdalen";"||Totaal agrarisch terrein";"ha";"4962"
"Roerdalen";"||Totaal  bos en open natuurlijk terrein";"ha";"2764"
"Roerdalen";"||Totaal binnenwater";"ha";"57"
"Roerdalen";"||Totaal buitenwater";"ha";""
"Roermond";"Totale oppervlakte";"ha";"7105"
"Roermond";"Totaal verkeersterrein";"ha";"324"
"Roermond";"||Totaal bebouwd terrein";"ha";"1543"
"Roermond";"||Totaal semi-bebouwd terrein";"ha";"135"
"Roermond";"Bouwterrein";"ha";"91"
"Roermond";"||Totaal recreatieterrein";"ha";"368"
"Roermond";"||Totaal agrarisch terrein";"ha";"2788"
"Roermond";"||Totaal  bos en open natuurlijk terrein";"ha";"922"
"Roermond";"||Totaal binnenwater";"ha";"1024"
"Roermond";"||Totaal buitenwater";"ha";""
"Roggel en Neer";"Totale oppervlakte";"ha";""
"Roggel en Neer";"Totaal verkeersterrein";"ha";""
"Roggel en Neer";"||Totaal bebouwd terrein";"ha";""
"Roggel en Neer";"||Totaal semi-bebouwd terrein";"ha";""
"Roggel en Neer";"Bouwterrein";"ha";""
"Roggel en Neer";"||Totaal recreatieterrein";"ha";""
"Roggel en Neer";"||Totaal agrarisch terrein";"ha";""
"Roggel en Neer";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Roggel en Neer";"||Totaal binnenwater";"ha";""
"Roggel en Neer";"||Totaal buitenwater";"ha";""
"Rolde";"Totale oppervlakte";"ha";""
"Rolde";"Totaal verkeersterrein";"ha";""
"Rolde";"||Totaal bebouwd terrein";"ha";""
"Rolde";"||Totaal semi-bebouwd terrein";"ha";""
"Rolde";"Bouwterrein";"ha";""
"Rolde";"||Totaal recreatieterrein";"ha";""
"Rolde";"||Totaal agrarisch terrein";"ha";""
"Rolde";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Rolde";"||Totaal binnenwater";"ha";""
"Rolde";"||Totaal buitenwater";"ha";""
"De Ronde Venen";"Totale oppervlakte";"ha";"11698"
"De Ronde Venen";"Totaal verkeersterrein";"ha";"385"
"De Ronde Venen";"||Totaal bebouwd terrein";"ha";"846"
"De Ronde Venen";"||Totaal semi-bebouwd terrein";"ha";"75"
"De Ronde Venen";"Bouwterrein";"ha";"63"
"De Ronde Venen";"||Totaal recreatieterrein";"ha";"346"
"De Ronde Venen";"||Totaal agrarisch terrein";"ha";"8157"
"De Ronde Venen";"||Totaal  bos en open natuurlijk terrein";"ha";"183"
"De Ronde Venen";"||Totaal binnenwater";"ha";"1706"
"De Ronde Venen";"||Totaal buitenwater";"ha";""
"Roosendaal";"Totale oppervlakte";"ha";"10716"
"Roosendaal";"Totaal verkeersterrein";"ha";"485"
"Roosendaal";"||Totaal bebouwd terrein";"ha";"1941"
"Roosendaal";"||Totaal semi-bebouwd terrein";"ha";"148"
"Roosendaal";"Bouwterrein";"ha";"110"
"Roosendaal";"||Totaal recreatieterrein";"ha";"291"
"Roosendaal";"||Totaal agrarisch terrein";"ha";"7116"
"Roosendaal";"||Totaal  bos en open natuurlijk terrein";"ha";"670"
"Roosendaal";"||Totaal binnenwater";"ha";"66"
"Roosendaal";"||Totaal buitenwater";"ha";""
"Roosendaal en Nispen";"Totale oppervlakte";"ha";""
"Roosendaal en Nispen";"Totaal verkeersterrein";"ha";""
"Roosendaal en Nispen";"||Totaal bebouwd terrein";"ha";""
"Roosendaal en Nispen";"||Totaal semi-bebouwd terrein";"ha";""
"Roosendaal en Nispen";"Bouwterrein";"ha";""
"Roosendaal en Nispen";"||Totaal recreatieterrein";"ha";""
"Roosendaal en Nispen";"||Totaal agrarisch terrein";"ha";""
"Roosendaal en Nispen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Roosendaal en Nispen";"||Totaal binnenwater";"ha";""
"Roosendaal en Nispen";"||Totaal buitenwater";"ha";""
"Rossum";"Totale oppervlakte";"ha";""
"Rossum";"Totaal verkeersterrein";"ha";""
"Rossum";"||Totaal bebouwd terrein";"ha";""
"Rossum";"||Totaal semi-bebouwd terrein";"ha";""
"Rossum";"Bouwterrein";"ha";""
"Rossum";"||Totaal recreatieterrein";"ha";""
"Rossum";"||Totaal agrarisch terrein";"ha";""
"Rossum";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Rossum";"||Totaal binnenwater";"ha";""
"Rossum";"||Totaal buitenwater";"ha";""
"Rotterdam";"Totale oppervlakte";"ha";"32416"
"Rotterdam";"Totaal verkeersterrein";"ha";"2137"
"Rotterdam";"||Totaal bebouwd terrein";"ha";"11861"
"Rotterdam";"||Totaal semi-bebouwd terrein";"ha";"2077"
"Rotterdam";"Bouwterrein";"ha";"1684"
"Rotterdam";"||Totaal recreatieterrein";"ha";"2551"
"Rotterdam";"||Totaal agrarisch terrein";"ha";"2236"
"Rotterdam";"||Totaal  bos en open natuurlijk terrein";"ha";"895"
"Rotterdam";"||Totaal binnenwater";"ha";"7675"
"Rotterdam";"||Totaal buitenwater";"ha";"2985"
"Rozenburg";"Totale oppervlakte";"ha";""
"Rozenburg";"Totaal verkeersterrein";"ha";""
"Rozenburg";"||Totaal bebouwd terrein";"ha";""
"Rozenburg";"||Totaal semi-bebouwd terrein";"ha";""
"Rozenburg";"Bouwterrein";"ha";""
"Rozenburg";"||Totaal recreatieterrein";"ha";""
"Rozenburg";"||Totaal agrarisch terrein";"ha";""
"Rozenburg";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Rozenburg";"||Totaal binnenwater";"ha";""
"Rozenburg";"||Totaal buitenwater";"ha";""
"Rozendaal";"Totale oppervlakte";"ha";"2792"
"Rozendaal";"Totaal verkeersterrein";"ha";"12"
"Rozendaal";"||Totaal bebouwd terrein";"ha";"65"
"Rozendaal";"||Totaal semi-bebouwd terrein";"ha";"4"
"Rozendaal";"Bouwterrein";"ha";"0"
"Rozendaal";"||Totaal recreatieterrein";"ha";"35"
"Rozendaal";"||Totaal agrarisch terrein";"ha";"51"
"Rozendaal";"||Totaal  bos en open natuurlijk terrein";"ha";"2622"
"Rozendaal";"||Totaal binnenwater";"ha";"2"
"Rozendaal";"||Totaal buitenwater";"ha";""
"Rucphen";"Totale oppervlakte";"ha";"6448"
"Rucphen";"Totaal verkeersterrein";"ha";"224"
"Rucphen";"||Totaal bebouwd terrein";"ha";"610"
"Rucphen";"||Totaal semi-bebouwd terrein";"ha";"34"
"Rucphen";"Bouwterrein";"ha";"20"
"Rucphen";"||Totaal recreatieterrein";"ha";"75"
"Rucphen";"||Totaal agrarisch terrein";"ha";"4217"
"Rucphen";"||Totaal  bos en open natuurlijk terrein";"ha";"1280"
"Rucphen";"||Totaal binnenwater";"ha";"6"
"Rucphen";"||Totaal buitenwater";"ha";""
"Ruinen";"Totale oppervlakte";"ha";""
"Ruinen";"Totaal verkeersterrein";"ha";""
"Ruinen";"||Totaal bebouwd terrein";"ha";""
"Ruinen";"||Totaal semi-bebouwd terrein";"ha";""
"Ruinen";"Bouwterrein";"ha";""
"Ruinen";"||Totaal recreatieterrein";"ha";""
"Ruinen";"||Totaal agrarisch terrein";"ha";""
"Ruinen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ruinen";"||Totaal binnenwater";"ha";""
"Ruinen";"||Totaal buitenwater";"ha";""
"Ruinerwold";"Totale oppervlakte";"ha";""
"Ruinerwold";"Totaal verkeersterrein";"ha";""
"Ruinerwold";"||Totaal bebouwd terrein";"ha";""
"Ruinerwold";"||Totaal semi-bebouwd terrein";"ha";""
"Ruinerwold";"Bouwterrein";"ha";""
"Ruinerwold";"||Totaal recreatieterrein";"ha";""
"Ruinerwold";"||Totaal agrarisch terrein";"ha";""
"Ruinerwold";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ruinerwold";"||Totaal binnenwater";"ha";""
"Ruinerwold";"||Totaal buitenwater";"ha";""
"Ruurlo";"Totale oppervlakte";"ha";""
"Ruurlo";"Totaal verkeersterrein";"ha";""
"Ruurlo";"||Totaal bebouwd terrein";"ha";""
"Ruurlo";"||Totaal semi-bebouwd terrein";"ha";""
"Ruurlo";"Bouwterrein";"ha";""
"Ruurlo";"||Totaal recreatieterrein";"ha";""
"Ruurlo";"||Totaal agrarisch terrein";"ha";""
"Ruurlo";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Ruurlo";"||Totaal binnenwater";"ha";""
"Ruurlo";"||Totaal buitenwater";"ha";""
"Sas van Gent";"Totale oppervlakte";"ha";""
"Sas van Gent";"Totaal verkeersterrein";"ha";""
"Sas van Gent";"||Totaal bebouwd terrein";"ha";""
"Sas van Gent";"||Totaal semi-bebouwd terrein";"ha";""
"Sas van Gent";"Bouwterrein";"ha";""
"Sas van Gent";"||Totaal recreatieterrein";"ha";""
"Sas van Gent";"||Totaal agrarisch terrein";"ha";""
"Sas van Gent";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Sas van Gent";"||Totaal binnenwater";"ha";""
"Sas van Gent";"||Totaal buitenwater";"ha";""
"Sassenheim";"Totale oppervlakte";"ha";""
"Sassenheim";"Totaal verkeersterrein";"ha";""
"Sassenheim";"||Totaal bebouwd terrein";"ha";""
"Sassenheim";"||Totaal semi-bebouwd terrein";"ha";""
"Sassenheim";"Bouwterrein";"ha";""
"Sassenheim";"||Totaal recreatieterrein";"ha";""
"Sassenheim";"||Totaal agrarisch terrein";"ha";""
"Sassenheim";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Sassenheim";"||Totaal binnenwater";"ha";""
"Sassenheim";"||Totaal buitenwater";"ha";""
"Schagen";"Totale oppervlakte";"ha";"18728"
"Schagen";"Totaal verkeersterrein";"ha";"546"
"Schagen";"||Totaal bebouwd terrein";"ha";"1166"
"Schagen";"||Totaal semi-bebouwd terrein";"ha";"114"
"Schagen";"Bouwterrein";"ha";"95"
"Schagen";"||Totaal recreatieterrein";"ha";"616"
"Schagen";"||Totaal agrarisch terrein";"ha";"13204"
"Schagen";"||Totaal  bos en open natuurlijk terrein";"ha";"1179"
"Schagen";"||Totaal binnenwater";"ha";"385"
"Schagen";"||Totaal buitenwater";"ha";"1519"
"Scheemda";"Totale oppervlakte";"ha";""
"Scheemda";"Totaal verkeersterrein";"ha";""
"Scheemda";"||Totaal bebouwd terrein";"ha";""
"Scheemda";"||Totaal semi-bebouwd terrein";"ha";""
"Scheemda";"Bouwterrein";"ha";""
"Scheemda";"||Totaal recreatieterrein";"ha";""
"Scheemda";"||Totaal agrarisch terrein";"ha";""
"Scheemda";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Scheemda";"||Totaal binnenwater";"ha";""
"Scheemda";"||Totaal buitenwater";"ha";""
"Schermer";"Totale oppervlakte";"ha";""
"Schermer";"Totaal verkeersterrein";"ha";""
"Schermer";"||Totaal bebouwd terrein";"ha";""
"Schermer";"||Totaal semi-bebouwd terrein";"ha";""
"Schermer";"Bouwterrein";"ha";""
"Schermer";"||Totaal recreatieterrein";"ha";""
"Schermer";"||Totaal agrarisch terrein";"ha";""
"Schermer";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Schermer";"||Totaal binnenwater";"ha";""
"Schermer";"||Totaal buitenwater";"ha";""
"Scherpenzeel";"Totale oppervlakte";"ha";"1381"
"Scherpenzeel";"Totaal verkeersterrein";"ha";"29"
"Scherpenzeel";"||Totaal bebouwd terrein";"ha";"208"
"Scherpenzeel";"||Totaal semi-bebouwd terrein";"ha";"9"
"Scherpenzeel";"Bouwterrein";"ha";"5"
"Scherpenzeel";"||Totaal recreatieterrein";"ha";"35"
"Scherpenzeel";"||Totaal agrarisch terrein";"ha";"934"
"Scherpenzeel";"||Totaal  bos en open natuurlijk terrein";"ha";"164"
"Scherpenzeel";"||Totaal binnenwater";"ha";"3"
"Scherpenzeel";"||Totaal buitenwater";"ha";""
"Schiedam";"Totale oppervlakte";"ha";"1986"
"Schiedam";"Totaal verkeersterrein";"ha";"145"
"Schiedam";"||Totaal bebouwd terrein";"ha";"893"
"Schiedam";"||Totaal semi-bebouwd terrein";"ha";"107"
"Schiedam";"Bouwterrein";"ha";"90"
"Schiedam";"||Totaal recreatieterrein";"ha";"325"
"Schiedam";"||Totaal agrarisch terrein";"ha";"279"
"Schiedam";"||Totaal  bos en open natuurlijk terrein";"ha";"34"
"Schiedam";"||Totaal binnenwater";"ha";"203"
"Schiedam";"||Totaal buitenwater";"ha";""
"Schiermonnikoog";"Totale oppervlakte";"ha";"19907"
"Schiermonnikoog";"Totaal verkeersterrein";"ha";"14"
"Schiermonnikoog";"||Totaal bebouwd terrein";"ha";"45"
"Schiermonnikoog";"||Totaal semi-bebouwd terrein";"ha";"4"
"Schiermonnikoog";"Bouwterrein";"ha";"0"
"Schiermonnikoog";"||Totaal recreatieterrein";"ha";"74"
"Schiermonnikoog";"||Totaal agrarisch terrein";"ha";"306"
"Schiermonnikoog";"||Totaal  bos en open natuurlijk terrein";"ha";"3608"
"Schiermonnikoog";"||Totaal binnenwater";"ha";"41"
"Schiermonnikoog";"||Totaal buitenwater";"ha";"15815"
"Schijndel";"Totale oppervlakte";"ha";"4166"
"Schijndel";"Totaal verkeersterrein";"ha";"150"
"Schijndel";"||Totaal bebouwd terrein";"ha";"601"
"Schijndel";"||Totaal semi-bebouwd terrein";"ha";"73"
"Schijndel";"Bouwterrein";"ha";"19"
"Schijndel";"||Totaal recreatieterrein";"ha";"98"
"Schijndel";"||Totaal agrarisch terrein";"ha";"2775"
"Schijndel";"||Totaal  bos en open natuurlijk terrein";"ha";"456"
"Schijndel";"||Totaal binnenwater";"ha";"13"
"Schijndel";"||Totaal buitenwater";"ha";""
"Schinnen";"Totale oppervlakte";"ha";"2412"
"Schinnen";"Totaal verkeersterrein";"ha";"94"
"Schinnen";"||Totaal bebouwd terrein";"ha";"333"
"Schinnen";"||Totaal semi-bebouwd terrein";"ha";"46"
"Schinnen";"Bouwterrein";"ha";"2"
"Schinnen";"||Totaal recreatieterrein";"ha";"77"
"Schinnen";"||Totaal agrarisch terrein";"ha";"1676"
"Schinnen";"||Totaal  bos en open natuurlijk terrein";"ha";"180"
"Schinnen";"||Totaal binnenwater";"ha";"6"
"Schinnen";"||Totaal buitenwater";"ha";""
"Schipluiden";"Totale oppervlakte";"ha";""
"Schipluiden";"Totaal verkeersterrein";"ha";""
"Schipluiden";"||Totaal bebouwd terrein";"ha";""
"Schipluiden";"||Totaal semi-bebouwd terrein";"ha";""
"Schipluiden";"Bouwterrein";"ha";""
"Schipluiden";"||Totaal recreatieterrein";"ha";""
"Schipluiden";"||Totaal agrarisch terrein";"ha";""
"Schipluiden";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Schipluiden";"||Totaal binnenwater";"ha";""
"Schipluiden";"||Totaal buitenwater";"ha";""
"Schoonebeek";"Totale oppervlakte";"ha";""
"Schoonebeek";"Totaal verkeersterrein";"ha";""
"Schoonebeek";"||Totaal bebouwd terrein";"ha";""
"Schoonebeek";"||Totaal semi-bebouwd terrein";"ha";""
"Schoonebeek";"Bouwterrein";"ha";""
"Schoonebeek";"||Totaal recreatieterrein";"ha";""
"Schoonebeek";"||Totaal agrarisch terrein";"ha";""
"Schoonebeek";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Schoonebeek";"||Totaal binnenwater";"ha";""
"Schoonebeek";"||Totaal buitenwater";"ha";""
"Schoonhoven";"Totale oppervlakte";"ha";""
"Schoonhoven";"Totaal verkeersterrein";"ha";""
"Schoonhoven";"||Totaal bebouwd terrein";"ha";""
"Schoonhoven";"||Totaal semi-bebouwd terrein";"ha";""
"Schoonhoven";"Bouwterrein";"ha";""
"Schoonhoven";"||Totaal recreatieterrein";"ha";""
"Schoonhoven";"||Totaal agrarisch terrein";"ha";""
"Schoonhoven";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Schoonhoven";"||Totaal binnenwater";"ha";""
"Schoonhoven";"||Totaal buitenwater";"ha";""
"Schoorl";"Totale oppervlakte";"ha";""
"Schoorl";"Totaal verkeersterrein";"ha";""
"Schoorl";"||Totaal bebouwd terrein";"ha";""
"Schoorl";"||Totaal semi-bebouwd terrein";"ha";""
"Schoorl";"Bouwterrein";"ha";""
"Schoorl";"||Totaal recreatieterrein";"ha";""
"Schoorl";"||Totaal agrarisch terrein";"ha";""
"Schoorl";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Schoorl";"||Totaal binnenwater";"ha";""
"Schoorl";"||Totaal buitenwater";"ha";""
"Schouwen-Duiveland";"Totale oppervlakte";"ha";"48821"
"Schouwen-Duiveland";"Totaal verkeersterrein";"ha";"823"
"Schouwen-Duiveland";"||Totaal bebouwd terrein";"ha";"1098"
"Schouwen-Duiveland";"||Totaal semi-bebouwd terrein";"ha";"354"
"Schouwen-Duiveland";"Bouwterrein";"ha";"100"
"Schouwen-Duiveland";"||Totaal recreatieterrein";"ha";"1197"
"Schouwen-Duiveland";"||Totaal agrarisch terrein";"ha";"15397"
"Schouwen-Duiveland";"||Totaal  bos en open natuurlijk terrein";"ha";"4095"
"Schouwen-Duiveland";"||Totaal binnenwater";"ha";"7211"
"Schouwen-Duiveland";"||Totaal buitenwater";"ha";"18645"
"Sevenum";"Totale oppervlakte";"ha";""
"Sevenum";"Totaal verkeersterrein";"ha";""
"Sevenum";"||Totaal bebouwd terrein";"ha";""
"Sevenum";"||Totaal semi-bebouwd terrein";"ha";""
"Sevenum";"Bouwterrein";"ha";""
"Sevenum";"||Totaal recreatieterrein";"ha";""
"Sevenum";"||Totaal agrarisch terrein";"ha";""
"Sevenum";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Sevenum";"||Totaal binnenwater";"ha";""
"Sevenum";"||Totaal buitenwater";"ha";""
"Simpelveld";"Totale oppervlakte";"ha";"1603"
"Simpelveld";"Totaal verkeersterrein";"ha";"79"
"Simpelveld";"||Totaal bebouwd terrein";"ha";"243"
"Simpelveld";"||Totaal semi-bebouwd terrein";"ha";"8"
"Simpelveld";"Bouwterrein";"ha";"6"
"Simpelveld";"||Totaal recreatieterrein";"ha";"46"
"Simpelveld";"||Totaal agrarisch terrein";"ha";"1192"
"Simpelveld";"||Totaal  bos en open natuurlijk terrein";"ha";"35"
"Simpelveld";"||Totaal binnenwater";"ha";"0"
"Simpelveld";"||Totaal buitenwater";"ha";""
"Sint Anthonis";"Totale oppervlakte";"ha";"9976"
"Sint Anthonis";"Totaal verkeersterrein";"ha";"229"
"Sint Anthonis";"||Totaal bebouwd terrein";"ha";"328"
"Sint Anthonis";"||Totaal semi-bebouwd terrein";"ha";"22"
"Sint Anthonis";"Bouwterrein";"ha";"14"
"Sint Anthonis";"||Totaal recreatieterrein";"ha";"147"
"Sint Anthonis";"||Totaal agrarisch terrein";"ha";"7762"
"Sint Anthonis";"||Totaal  bos en open natuurlijk terrein";"ha";"1440"
"Sint Anthonis";"||Totaal binnenwater";"ha";"49"
"Sint Anthonis";"||Totaal buitenwater";"ha";""
"Sint-Michielsgestel";"Totale oppervlakte";"ha";"5934"
"Sint-Michielsgestel";"Totaal verkeersterrein";"ha";"202"
"Sint-Michielsgestel";"||Totaal bebouwd terrein";"ha";"622"
"Sint-Michielsgestel";"||Totaal semi-bebouwd terrein";"ha";"82"
"Sint-Michielsgestel";"Bouwterrein";"ha";"78"
"Sint-Michielsgestel";"||Totaal recreatieterrein";"ha";"128"
"Sint-Michielsgestel";"||Totaal agrarisch terrein";"ha";"4386"
"Sint-Michielsgestel";"||Totaal  bos en open natuurlijk terrein";"ha";"417"
"Sint-Michielsgestel";"||Totaal binnenwater";"ha";"96"
"Sint-Michielsgestel";"||Totaal buitenwater";"ha";""
"Sint-Oedenrode";"Totale oppervlakte";"ha";"6494"
"Sint-Oedenrode";"Totaal verkeersterrein";"ha";"193"
"Sint-Oedenrode";"||Totaal bebouwd terrein";"ha";"404"
"Sint-Oedenrode";"||Totaal semi-bebouwd terrein";"ha";"24"
"Sint-Oedenrode";"Bouwterrein";"ha";"20"
"Sint-Oedenrode";"||Totaal recreatieterrein";"ha";"122"
"Sint-Oedenrode";"||Totaal agrarisch terrein";"ha";"5071"
"Sint-Oedenrode";"||Totaal  bos en open natuurlijk terrein";"ha";"627"
"Sint-Oedenrode";"||Totaal binnenwater";"ha";"53"
"Sint-Oedenrode";"||Totaal buitenwater";"ha";""
"Sittard";"Totale oppervlakte";"ha";""
"Sittard";"Totaal verkeersterrein";"ha";""
"Sittard";"||Totaal bebouwd terrein";"ha";""
"Sittard";"||Totaal semi-bebouwd terrein";"ha";""
"Sittard";"Bouwterrein";"ha";""
"Sittard";"||Totaal recreatieterrein";"ha";""
"Sittard";"||Totaal agrarisch terrein";"ha";""
"Sittard";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Sittard";"||Totaal binnenwater";"ha";""
"Sittard";"||Totaal buitenwater";"ha";""
"Sittard-Geleen";"Totale oppervlakte";"ha";"8058"
"Sittard-Geleen";"Totaal verkeersterrein";"ha";"494"
"Sittard-Geleen";"||Totaal bebouwd terrein";"ha";"3189"
"Sittard-Geleen";"||Totaal semi-bebouwd terrein";"ha";"194"
"Sittard-Geleen";"Bouwterrein";"ha";"162"
"Sittard-Geleen";"||Totaal recreatieterrein";"ha";"421"
"Sittard-Geleen";"||Totaal agrarisch terrein";"ha";"3206"
"Sittard-Geleen";"||Totaal  bos en open natuurlijk terrein";"ha";"396"
"Sittard-Geleen";"||Totaal binnenwater";"ha";"158"
"Sittard-Geleen";"||Totaal buitenwater";"ha";""
"Skarsterlân";"Totale oppervlakte";"ha";""
"Skarsterlân";"Totaal verkeersterrein";"ha";""
"Skarsterlân";"||Totaal bebouwd terrein";"ha";""
"Skarsterlân";"||Totaal semi-bebouwd terrein";"ha";""
"Skarsterlân";"Bouwterrein";"ha";""
"Skarsterlân";"||Totaal recreatieterrein";"ha";""
"Skarsterlân";"||Totaal agrarisch terrein";"ha";""
"Skarsterlân";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Skarsterlân";"||Totaal binnenwater";"ha";""
"Skarsterlân";"||Totaal buitenwater";"ha";""
"Sleen";"Totale oppervlakte";"ha";""
"Sleen";"Totaal verkeersterrein";"ha";""
"Sleen";"||Totaal bebouwd terrein";"ha";""
"Sleen";"||Totaal semi-bebouwd terrein";"ha";""
"Sleen";"Bouwterrein";"ha";""
"Sleen";"||Totaal recreatieterrein";"ha";""
"Sleen";"||Totaal agrarisch terrein";"ha";""
"Sleen";"||Totaal  bos en open natuurlijk terrein";"ha";""
"Sleen";"||Totaal binnenwater";"ha";""
"Sleen";"||Totaal buitenwater";"ha";""
"Sliedrecht";"Totale oppervlakte";"ha";"1401"
"Sliedrecht";"Totaal verkeersterrein";"ha";"88"
"Sliedrecht";"||Totaal bebouwd terrein";"ha";"443"
"Sliedrecht";"||Totaal semi-bebouwd terrein";"ha";"43"
"Sliedrecht";"Bouwterrein";"ha";"37"
"Sliedrecht";"||Totaal recreatieterrein";"ha";"61"
"Sliedrecht";"||Totaal agrarisch terrein";"ha";"646"
"Sliedrecht";"||Totaal  bos en open natuurlijk terrein";"ha";"2"
"Sliedrecht";"||Totaal binnenwater";"ha";"118"
"Sliedrecht";"||Totaal buitenwater";"ha";""
"Slochteren";"Totale oppervlakte";"ha";"15887"
"Slochteren";"Totaal verkeersterrein";"ha";"422"
"Slochteren";"||Totaal bebouwd terrein";"ha";"498"
"Slochteren";"||Totaal semi-bebouwd terrein";"ha";"288"
"Slochteren";"Bouwterrein";"ha";"190"
"Slochteren";"||Totaal recreatieterrein";"ha";"181"
"Slochteren";"||Totaal agrarisch terrein";"ha";"12455"
"Slochteren";"||Totaal  bos en open natuurlijk terrein";"ha";"1107"
"Slochteren";"||Totaal binnenwater";"ha";"936"
"Slochteren";"||Totaal buitenwater";"ha";""
"Sluis";"Totale oppervlakte";"ha";"30716"
"Sluis";"Totaal verkeersterrein";"ha";"854"
"Sluis";"||Totaal bebouwd terrein";"ha";"769"
"Sluis";"||Totaal semi-bebouwd terrein";"ha";"556"
"Sluis";"Bouwterrein";"ha";"501"
"Sluis";"||Totaal recreatieterrein";"ha";"666"
"Sluis";"||Totaal agrarisch terrein";"ha";"24416"
"Sluis";"||Totaal  bos en open natuurlijk terrein";"ha";"674"
"Sluis";"||Totaal binnenwater";"ha";"398"
"Sluis";"||Totaal buitenwater";"ha";"2382"
"Sluis-Aardenburg";"Totale oppervlakte";"ha";""
"Sluis-Aardenburg";"Totaal verkeersterrein";"ha";""
"Sluis-Aardenburg";"||Totaal bebouwd terrein";"ha";""
"Sluis-Aardenburg";"||Totaal semi-bebouwd terrein";"ha";""
"Sluis-Aardenburg";"Bouwterrein";"ha";""
"Sluis-Aardenburg";"||Totaal recreatieterrein";"ha";""
"Sluis-Aardenburg";"||Totaal agrarisch terrein";"ha";""
