Code,Gemeentena,GM_Code,Shape__Are,Shape__Len,Res_regio,Rescode
1773,Olst-Wijhe,GM1773,118369441.48299999535,65701.64084959999,Regio West-Overijssel,RES028
0794,Helmond,GM0794,54752516.16019999981,42796.51651580000,Metropoolregio Eindhoven,RES017
1708,Steenwijkerland,GM1708,321590562.43300002813,100399.62044499999,Regio West-Overijssel,RES028
1774,Dinkelland,GM1774,176826820.65299999714,88553.33566519999,Regio Twente,RES025
0755,Boekel,GM0755,34516110.52709999681,25411.77070880000,Regio Noord-oost Brabant,RES020
0294,Winterswijk,GM0294,138817748.70300000906,53000.77658910000,Regio Achterhoek,RES001
0109,Coevorden,GM0109,299690095.98799997568,88672.44388209999,Regio Drenthe,RES006
0267,Nijkerk,GM0267,72040269.36169999838,56241.46384560000,Regio FoodValley,RES008
0534,Hillegom,GM0534,13465591.19669999927,15673.70833760000,Regio Holland Rijnland,RES013
0310,De Bilt,GM0310,67130787.21430000663,43237.14766890000,Regio U16/U10,RES026
0642,Zwijndrecht,GM0642,22774742.84490000084,21357.28153130000,Regio Drechtsteden,RES005
0785,Goirle,GM0785,43378680.24589999765,42378.74624330000,Regio Hart van Brabant,RES011
0994,Valkenburg aan de Geul,GM0994,36924172.88390000165,34769.07551980000,Regio Zuid-Limburg,RES030
0050,Zeewolde,GM0050,268858791.61100000143,79745.85211440000,Regio Flevoland,RES007
0200,Apeldoorn,GM0200,341146792.82300001383,94180.30132290001,Regio Stedendriehoek/cleantechregio,RES024
0757,Boxtel,GM0757,64846132.85790000111,43641.20424400000,Regio Noord-oost Brabant,RES020
0317,Eemnes,GM0317,33702939.13359999657,28915.58559480000,Regio Amersfoort,RES004
0928,Kerkrade,GM0928,22152895.65139999986,27285.62765870000,Regio Zuid-Limburg,RES030
0285,Voorst,GM0285,126468690.84700000286,69127.72876450000,Regio Stedendriehoek/cleantechregio,RES024
1771,Geldrop-Mierlo,GM1771,31387314.51040000096,29132.59570810000,Metropoolregio Eindhoven,RES017
0353,IJsselstein,GM0353,21680241.49359999970,25554.85590210000,Regio U16/U10,RES026
0047,Veendam,GM0047,78678839.24220000207,39605.31869720000,Regio Groningen,RES012
0281,Tiel,GM0281,35512546.27809999883,32225.37223960000,Regio Rivierenland (Fruitdelta),RES022
0432,Opmeer,GM0432,41943395.57100000232,32523.15098580000,Regio Noord-Holland Noord,RES018
1892,Zuidplas,GM1892,64050037.39450000226,56673.39905260000,Regio Midden-Holland,RES015
0995,Lelystad,GM0995,765452439.53100001812,119061.10480700000,Regio Flevoland,RES007
0748,Bergen op Zoom,GM0748,93127917.44640000165,48706.80195560000,Regio West Brabant,RES027
0405,Hoorn,GM0405,53455152.99379999936,35464.55490910000,Regio Noord-Holland Noord,RES018
0532,Stede Broec,GM0532,16370718.73479999974,18758.17415220000,Regio Noord-Holland Noord,RES018
0847,Someren,GM0847,81500588.37430000305,41763.72980940000,Metropoolregio Eindhoven,RES017
1652,Gemert-Bakel,GM1652,123338786.60300000012,47103.00673920000,Metropoolregio Eindhoven,RES017
1711,Echt-Susteren,GM1711,104619184.34499999881,65588.53233010000,Regio Noord- en Midden Limburg,RES019
1954,Beekdaelen,GM1954,78489602.38339999318,62265.09333300000,Regio Zuid-Limburg,RES030
1959,Altena,GM1959,226642947.60899999738,87568.12715180000,Regio West Brabant,RES027
1960,West Betuwe,GM1960,229121400.71999999881,89050.34840750000,Regio Rivierenland (Fruitdelta),RES022
1961,Vijfheerenlanden,GM1961,153312817.15099999309,62865.98243270000,Regio U16/U10,RES026
1963,Hoeksche Waard,GM1963,323685382.67900002003,75567.44662880000,Regio Hoecksewaard,RES014
0394,Haarlemmermeer,GM0394,206313021.80399999022,72707.54233850000,Regio Noord-Holland Zuid,RES016
1969,Westerkwartier,GM1969,368763791.71100002527,98357.81337790001,Regio Groningen,RES012
0184,Urk,GM0184,111859728.93999999762,58859.45104320000,Regio Flevoland,RES007
